segregant,batch,OD_covariate
A03_20-BYxRM_eQTL_06,6,0.154
A03_21-BYxRM_eQTL_10,10,0.318
A03_22-BYxRM_eQTL_13,13,0.349
A03_23-BYxRM_eQTL_05,5,0.19
A03_24-BYxRM_eQTL_03,3,0.148
A03_25-BYxRM_eQTL_03,3,0.252
A03_26-BYxRM_eQTL_12,12,0.214
A03_27-BYxRM_eQTL_11,11,0.353
A03_28-BYxRM_eQTL_02,2,0.225
A03_29-BYxRM_eQTL_01,1,0.235
A03_30-BYxRM_eQTL_04,4,0.252
A03_31-BYxRM_eQTL_07,7,0.183
A03_32-BYxRM_eQTL_10,10,0.305
A03_33-BYxRM_eQTL_09,9,0.214
A03_34-BYxRM_eQTL_09,9,0.236
A03_35-BYxRM_eQTL_11,11,0.257
A03_36-BYxRM_eQTL_03,3,0.166
A03_37-BYxRM_eQTL_11,11,0.299
A03_38-BYxRM_eQTL_11,11,0.281
A03_39-BYxRM_eQTL_08,8,0.28
A03_40-BYxRM_eQTL_02,2,0.239
A03_41-BYxRM_eQTL_03,3,0.231
A03_42-BYxRM_eQTL_03,3,0.181
A03_43-BYxRM_eQTL_04,4,0.204
A03_44-BYxRM_eQTL_06,6,0.117
A03_46-BYxRM_eQTL_13,13,0.195
A03_47-BYxRM_eQTL_07,7,0.196
A03_48-BYxRM_eQTL_01,1,0.312
A03_49-BYxRM_eQTL_13,13,0.627
A03_50-BYxRM_eQTL_10,10,0.251
A03_51-BYxRM_eQTL_06,6,0.192
A03_52-BYxRM_eQTL_07,7,0.185
A03_53-BYxRM_eQTL_07,7,0.166
A03_54-BYxRM_eQTL_08,8,0.349
A03_55-BYxRM_eQTL_09,9,0.239
A03_56-BYxRM_eQTL_07,7,0.196
A03_57-BYxRM_eQTL_06,6,0.186
A03_58-BYxRM_eQTL_03,3,0.199
A03_59-BYxRM_eQTL_04,4,0.33
A03_60-BYxRM_eQTL_07,7,0.232
A03_61-BYxRM_eQTL_07,7,0.204
A03_62-BYxRM_eQTL_12,12,0.219
A03_63-BYxRM_eQTL_08,8,0.231
A03_64-BYxRM_eQTL_02,2,0.217
A03_65-BYxRM_eQTL_11,11,0.296
A03_66-BYxRM_eQTL_01,1,0.291
A03_67-BYxRM_eQTL_04,4,0.221
A03_68-BYxRM_eQTL_06,6,0.16
A03_69-BYxRM_eQTL_03,3,0.248
A03_70-BYxRM_eQTL_08,8,0.215
A03_71-BYxRM_eQTL_10,10,0.218
A03_72-BYxRM_eQTL_01,1,0.257
A03_73-BYxRM_eQTL_02,2,0.246
A03_74-BYxRM_eQTL_03,3,0.215
A03_75-BYxRM_eQTL_03,3,0.207
A03_76-BYxRM_eQTL_01,1,0.361
A03_77-BYxRM_eQTL_08,8,0.286
A03_78-BYxRM_eQTL_08,8,0.383
A03_79-BYxRM_eQTL_05,5,0.191
A03_80-BYxRM_eQTL_10,10,0.248
A03_81-BYxRM_eQTL_09,9,0.212
A03_82-BYxRM_eQTL_01,1,0.256
A03_83-BYxRM_eQTL_02,2,0.203
A03_84-BYxRM_eQTL_10,10,0.253
A03_85-BYxRM_eQTL_09,9,0.244
A03_86-BYxRM_eQTL_09,9,0.173
A03_88-BYxRM_eQTL_12,12,0.081
A03_89-BYxRM_eQTL_08,8,0.206
A03_90-BYxRM_eQTL_08,8,0.283
A03_91-BYxRM_eQTL_13,13,0.154
A03_92-BYxRM_eQTL_06,6,0.097
A03_93-BYxRM_eQTL_05,5,0.182
A03_94-BYxRM_eQTL_02,2,0.228
